idx,name
1212,libwps
1213,libx86emu
1214,libxcb
1215,libxcrypt
1216,libxkbcommon
1217,libxkbfile
1218,libxklavier
1219,libxml++
1220,libxml2
1221,libxmlb
1222,libxshmfence
1223,libxslt
1224,libyami
1225,libyaml
1226,libyang
1227,libzen
1228,libzmf
1229,lightdm
1230,lightdm-gtk
1231,lightdm-gtk-greeter-settings
1232,linux-firmware
1233,linuxconsoletools
1234,linuxdoc-tools
1235,lksctp-tools
1236,lldpad
1237,lldpd
1238,llvm
1239,lm_sensors
1240,lmdb
1241,lockdev
1242,log4j
1243,logrotate
1244,logwatch
1245,lorax
1246,lorax-templates-anolis
1247,lpsolve
1248,lrzsz
1249,lshw
1250,lsof
1251,lsscsi
1252,lttng-ust
1253,lua
1254,lua-expat
1255,lua-filesystem
1256,lua-json
1257,lua-lpeg
1258,lua-posix
1259,lua-rpm-macros
1260,lua-socket
1261,luajit
1262,lucene++
1263,luksmeta
1264,lvm2
1265,lz4
1266,lzo
1267,lzop
1268,m17n-db
1269,m17n-lib
1270,m4
1271,mailcap
1272,mailx
1273,make
1274,malaga
1275,malaga-suomi-voikko
1276,mallard-rng
1277,man-db
1278,mariadb
1279,mariadb-connector-c
1280,mariadb-connector-odbc
1281,mariadb-java-client
1282,marisa
1283,matchbox-window-manager
1284,maven-plugin-bundle
1285,mc
1286,mcelog
1287,mcpp
1288,mcstrans
1289,mdadm
1290,meanwhile
1291,mecab
1292,media-player-info
1293,memcached
1294,memstrack
1295,memtest86+
1296,mesa
1297,mesa-demos
1298,mesa-libGLU
1299,mesa-libGLw
1300,meson
1301,metacity
1302,microcode_ctl
1303,microdnf
1304,micropipenv
1305,mimetic
1306,mingw-binutils
1307,mingw-bzip2
1308,mingw-cairo
1309,mingw-crt
1310,mingw-expat
1311,mingw-filesystem
1312,mingw-fontconfig
1313,mingw-freetype
1314,mingw-gcc
1315,mingw-gettext
1316,mingw-glib2
1317,mingw-gstreamer1
1318,mingw-harfbuzz
1319,mingw-headers
1320,mingw-icu
1321,mingw-libffi
1322,mingw-libjpeg-turbo
1323,mingw-libpng
1324,mingw-libtiff
1325,mingw-openssl
1326,mingw-pcre
1327,mingw-pixman
1328,mingw-pkg-config
1329,mingw-readline
1330,mingw-sqlite
1331,mingw-termcap
1332,mingw-win-iconv
1333,mingw-winpthreads
1334,mingw-zlib
1335,minicom
1336,minizip
1337,mksh
1338,mlocate
1339,mobile-broadband-provider-info
1340,mod_auth_gssapi
1341,mod_auth_mellon
1342,mod_authnz_pam
1343,mod_fcgid
1344,mod_intercept_form_submit
1345,mod_lookup_identity
1346,mod_security
1347,mod_security_crs
1348,mod_wsgi
1349,modulemd-tools
1350,mokutil
1351,motif
1352,mousetweaks
1353,mozilla-filesystem
1354,mozjs52
1355,mozjs60
1356,mozvoikko
1357,mpfr
1358,mpg123
1359,mpich
1360,mpitests
1361,mpv
1362,mrtg
1363,mstflint
1364,mt-st
1365,mtdev
1366,mtools
1367,mtr
1368,mtx
1369,multilib-rpm-config
1370,munge
1371,mutt
1372,mutter
1373,mvapich2
1374,mysql
1375,mythes
1376,mythes-bg
1377,mythes-ca
1378,mythes-cs
1379,mythes-da
1380,mythes-de
1381,mythes-el
1382,mythes-en
1383,mythes-es
1384,mythes-fr
1385,mythes-ga
1386,mythes-hu
1387,mythes-it
1388,mythes-mi
1389,mythes-ne
1390,mythes-nl
1391,mythes-pl
1392,mythes-pt
1393,mythes-ro
1394,mythes-ru
1395,mythes-sk
1396,mythes-sl
1397,mythes-sv
1398,mythes-uk
1399,nano
1400,nasm
1401,nautilus
1402,ncompress
1403,ncurses
1404,ndctl
1405,neon
1406,net-snmp
1407,net-tools
1408,netlabel_tools
1409,netpbm
1410,nettle
1411,network-manager-applet
1412,newt
1413,nfs-utils
1414,nfs4-acl-tools
1415,nftables
1416,nghttp2
1417,nginx
1418,ninja-build
1419,nispor
1420,nmap
1421,nmstate
1422,nodejs
1423,nodejs-nodemon
1424,nodejs-packaging
1425,npth
1426,nspr
1427,nss
1428,nss_nis
1429,nss_wrapper
1430,ntfs-3g
1431,numactl
1432,numad
1433,numatop
1434,numpy
1435,nvme-cli
